Compound,TyreAge,LightGBM_s,XGBoost_s,CatBoost_s,LightGBM_Degradation_s,XGBoost_Degradation_s,CatBoost_Degradation_s,Ensemble_s,Ensemble_Degradation_s
MEDIUM,17,89.5799880161047,91.94774627685547,87.515233688775,4.07951325662637,3.438385009765625,1.0678471369432856,89.64749495207485,2.8136410137983887
MEDIUM,18,89.58460158780511,91.95970916748047,87.51960072803237,4.084126828326774,3.450347900390625,1.07221417620066,89.65447111731179,2.820617179035324
MEDIUM,19,89.58460158780511,91.92472839355469,87.52158498999344,4.084126828326774,3.4153671264648438,1.07419843816173,89.64350910934253,2.809655171066069
MEDIUM,20,89.74679204529257,91.9660415649414,87.52257498640277,4.246317285814229,3.4566802978515625,1.0751884345710607,89.70910204478149,2.875248106505026
MEDIUM,21,89.8898316922814,91.94816589355469,87.65063607602465,4.389356932803068,3.4388046264648438,1.203249524192941,89.79329268856654,2.959438750290076
MEDIUM,22,89.8898316922814,91.95904541015625,87.65204772267884,4.389356932803068,3.4496841430664062,1.2046611708471318,89.79741086921997,2.9635569309435112
MEDIUM,23,89.84270492001396,91.9834976196289,87.64882816604695,4.342230160535621,3.4741363525390625,1.2014416142152413,89.78947445624894,2.955620517972477
MEDIUM,24,89.84270492001396,91.9187240600586,87.64993603635206,4.342230160535621,3.40936279296875,1.2025494845203468,89.76827954243595,2.934425604159486
MEDIUM,25,89.83660715184445,91.93008422851562,87.75182549412655,4.33613239236611,3.4207229614257812,1.304438942294837,89.80572854492041,2.9718746066439508
MEDIUM,26,90.04570755935872,91.9322280883789,87.75844691884778,4.545232799880381,3.4228668212890625,1.3110603670160685,89.87512814815851,3.0412742098820473
MEDIUM,27,89.99382009671231,91.95054626464844,87.75046831683235,4.493345337233976,3.4411849975585938,1.3030817650006412,89.86197403348683,3.028120095210369
MEDIUM,28,90.03907840305259,91.95054626464844,87.7315640817289,4.538603643574248,3.4411849975585938,1.2841775298971925,89.86973474365213,3.035880805375669
MEDIUM,29,90.03907840305259,91.95054626464844,87.73103949730967,4.538603643574248,3.4411849975585938,1.2836529454779537,89.86955145774769,3.0356975194712277
MEDIUM,30,90.03907840305259,91.95054626464844,87.73103949730967,4.538603643574248,3.4411849975585938,1.2836529454779537,89.86955145774769,3.0356975194712277
MEDIUM,31,90.03907840305259,91.95054626464844,87.73103949730967,4.538603643574248,3.4411849975585938,1.2836529454779537,89.86955145774769,3.0356975194712277
MEDIUM,32,90.03907840305259,91.926513671875,87.73103949730967,4.538603643574248,3.4171524047851562,1.2836529454779537,89.86154400359476,3.0276900653182963
MEDIUM,33,90.03907840305259,91.926513671875,87.73103949730967,4.538603643574248,3.4171524047851562,1.2836529454779537,89.86154400359476,3.0276900653182963
MEDIUM,34,90.03907840305259,91.926513671875,87.73103949730967,4.538603643574248,3.4171524047851562,1.2836529454779537,89.86154400359476,3.0276900653182963
MEDIUM,35,90.03907840305259,92.0565185546875,87.73219012124495,4.538603643574248,3.5471572875976562,1.284803569413242,89.90526253695576,3.071408598679298
MEDIUM,36,90.03907840305259,92.0565185546875,87.73219012124495,4.538603643574248,3.5471572875976562,1.284803569413242,89.90526253695576,3.071408598679298
MEDIUM,37,90.03907840305259,92.0565185546875,87.73219012124495,4.538603643574248,3.5471572875976562,1.284803569413242,89.90526253695576,3.071408598679298
MEDIUM,38,90.03907840305259,92.0565185546875,87.73219012124495,4.538603643574248,3.5471572875976562,1.284803569413242,89.90526253695576,3.071408598679298
HARD,2,80.74413535396349,92.26119995117188,83.10726744205893,0.0,0.0,0.0,85.40718349305415,0.0
HARD,3,85.23222486660897,95.71369934082031,83.16470139968504,4.488089512645487,3.4524993896484375,0.057433957626116694,88.00218506109512,2.5950015680409706
HARD,4,83.84466859308785,95.91442108154297,83.18399583842005,3.10053323912436,3.6532211303710938,0.07672839636111917,87.63537262571279,2.228189132658642
HARD,5,82.57953105387608,94.79357147216797,83.17491558455912,1.8353956999125955,2.5323715209960938,0.06764814250018958,86.8571676867888,1.4499841937346503
HARD,6,83.45362391037595,95.30118560791016,82.94773983004433,2.7094885564124667,3.0399856567382812,-0.15952761201459964,87.22437788830052,1.817194395246375
HARD,7,83.13663892692246,95.37467956542969,83.05281443100127,2.3925035729589723,3.1134796142578125,-0.054453011057660206,87.18496163256098,1.777778139506836
HARD,8,82.73119367127835,95.07425689697266,83.16913560817213,1.9870583173148617,2.8130569458007812,0.06186816611320012,86.99681032468808,1.589626831633936
HARD,9,82.76997427404665,95.06983947753906,83.1884445840007,2.02583892008316,2.8086395263671875,0.0811771419417795,87.01439447430397,1.6072109812498212
HARD,10,82.78084466995269,94.96113586425781,83.86792115918253,2.0367093159891994,2.6999359130859375,0.7606537171236027,87.21902987307111,1.8118463800169593
HARD,11,82.77045543713614,94.96113586425781,84.02576037063155,2.0263200831726493,2.6999359130859375,0.9184929285726184,87.27088001409969,1.86369652104554
HARD,12,82.82103001189199,94.96113586425781,84.01500381414557,2.0768946579285057,2.6999359130859375,0.9077363720866458,87.2831749312803,1.8759914382261513
HARD,13,82.72168933937108,94.948486328125,84.00608332358446,1.9775539854075959,2.687286376953125,0.898815881525536,87.24431114397541,1.8371276509212606
HARD,14,82.71222836136081,95.096435546875,84.0256575390032,1.9680930073973286,2.835235595703125,0.9183900969442789,87.29744257701702,1.8902590839628743
HARD,15,82.84617700980704,95.07808685302734,83.98833524941736,2.10204165584355,2.8168869018554688,0.8810678073584342,87.32080625975978,1.913622766705629
HARD,16,82.84617700980704,95.12814331054688,83.97552250726216,2.10204165584355,2.866943359375,0.868255065203229,87.3330079657809,1.9258244727267453
HARD,17,82.85722385899089,95.00874328613281,83.94965074067622,2.113088505027406,2.7475433349609375,0.8423832986172926,87.2876919430569,1.8805084500027505
HARD,18,82.91131016731113,95.02232360839844,83.94395226861056,2.1671748133476427,2.7611236572265625,0.8366848265516325,87.30739364487064,1.9002101518164949
HARD,19,82.95197333772326,95.1587905883789,83.94743939309907,2.2078379837597737,2.8975906372070312,0.8401719510401477,87.36698878973576,1.9598052966816084
HARD,20,83.01919810769022,95.16801452636719,83.97816359787,2.275062753726729,2.9068145751953125,0.8708961558110673,87.40213515237231,1.9949516593181613
