compound,tyre_age,lgb_deg,xgb_deg,cat_deg,ens_deg
SOFT,5,2.4999449446976314,1.085540771484375,1.193379757955384,1.5721734003834769
SOFT,10,3.4386583032005547,3.4985504150390625,3.602234551058615,3.5157661695960343
SOFT,15,3.6977382868006003,3.6888656616210938,3.841928977582839,3.745161161732696
SOFT,20,3.8368102071984964,4.1786346435546875,4.23187066284936,4.088734375243092
SOFT,30,3.916162545601395,4.686866760253906,3.9925547043386445,4.199645444952665
SOFT,40,3.916162545601395,4.627593994140625,3.9937053282739328,4.180298286224769
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.5971186639483506,-0.08754730224609375,-0.11195674483494145,0.1212481383609969
SOFT,10,0.37643618490874076,0.2948760986328125,0.594750393996307,0.42553842753859783
SOFT,15,0.39069449332141915,0.46538543701171875,0.7695717699018445,0.5479577860071885
SOFT,20,1.113643474557776,0.43660736083984375,0.42648731130030626,0.6479735722696063
SOFT,30,1.6697755541478756,0.7496719360351562,0.7873400568854549,1.0548884898424689
SOFT,40,1.6697755541478756,0.64251708984375,0.788490680820729,1.0195874319832257
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,0.9857929543598516,0.7649688720703125,-0.37458795250914534,0.43690926392098106
SOFT,10,3.8529366143799564,3.2477569580078125,3.5364573152893684,3.5407204149331477
SOFT,15,3.6057048372588127,3.3568954467773438,5.799542075052486,4.2893141344285795
SOFT,20,4.598025142283703,3.3575286865234375,6.826889636660141,4.963451063401564
SOFT,30,5.040369410016453,3.7607269287109375,7.106922345621072,5.336041756055195
SOFT,40,5.040369410016453,3.5884780883789062,7.1080729695563605,5.279051936661716
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.5893883643104516,-0.2150421142578125,0.3105347424369427,0.5413456095156164
SOFT,10,3.162620536188257,0.7256546020507812,2.372682157531642,2.0746457421100786
SOFT,15,3.084295466678469,0.7953567504882812,2.7825660488713027,2.2162186633913734
SOFT,20,3.765832677082173,0.9419326782226562,2.76415565452929,2.474954854051788
SOFT,30,4.999370686115157,1.2068710327148438,3.9524287083758196,3.3699485114813683
SOFT,40,4.999370686115157,1.0188827514648438,3.952253390802653,3.307251171003415
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,1.1175716915277718,0.592926025390625,0.9173713705049096,0.8728157404402879
SOFT,10,1.3742810608655418,1.5689468383789062,2.48581686986536,1.82750439697935
SOFT,15,1.1699097791845787,1.7352294921875,2.51835985901738,1.8294079218611898
SOFT,20,1.3579097300663392,1.7821426391601562,2.454854993248958,1.8825250404760112
SOFT,30,2.6312367643146644,1.9843826293945312,2.543845728895036,2.385176725249039
SOFT,40,2.6312367643146644,1.8921890258789062,2.5449963528303243,2.354860625356096
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,4.077389884690277,2.8455963134765625,0.15952001136949434,2.2980921440428403
SOFT,10,2.7236040558346843,3.0599136352539062,0.6361888973781049,2.106332157496837
SOFT,15,2.5489928450935935,2.334991455078125,0.9124143928953856,1.905881043946522
SOFT,20,2.6648607130761235,2.4307632446289062,1.0720610705634215,2.0303490619816387
SOFT,30,3.070732292473025,2.895782470703125,1.168846292470434,2.3479356505058604
SOFT,40,3.070732292473025,2.7291259765625,1.1697453244321707,2.292721248614413
SOFT,1,0.0,0.0,0.0,0.0
SOFT,5,3.993175451977436,1.897613525390625,0.7329203110844134,2.1558431996015486
SOFT,10,3.760097911278635,4.009483337402344,3.032335438078178,3.588916190893002
SOFT,15,3.689670864236973,4.926383972167969,1.2509931995904253,3.249677198825566
SOFT,20,3.7461982823378293,4.498817443847656,0.9125477923940366,3.0069080835885273
SOFT,30,4.265288826313736,5.39642333984375,0.5730365767615098,3.3521276168826972
SOFT,40,4.265288826313736,5.222801208496094,0.5741872006967981,3.2946802286804626
