compound,tyre_age,lightgbm_s,xgboost_s,catboost_s,ensemble_s,lightgbm_deg_s,xgboost_deg_s,catboost_deg_s,ensemble_deg_s
MEDIUM,12,89.88983988975203,92.31795501708984,87.72202396250894,89.94144825846837,4.469265619803636,3.9076995849609375,3.881695663633991,4.076864041153698
MEDIUM,13,89.89923281737629,92.25716400146484,87.73170352439905,89.92755664497997,4.478658547427898,3.8469085693359375,3.8913752255241008,4.062972427665301
MEDIUM,14,89.91114586081616,92.26922607421875,87.77422779478123,89.95021467931488,4.4905715908677735,3.8589706420898438,3.9338994959062745,4.085630462000211
MEDIUM,15,90.03017373657647,92.26099395751953,87.76276622542525,89.98124857106129,4.609599466628083,3.850738525390625,3.9224379265503018,4.116664353746614
MEDIUM,16,90.03353443781572,92.2551498413086,87.7365854925207,89.97122074799873,4.612960167867328,3.8448944091796875,3.896257193645752,4.106636530684057
MEDIUM,17,90.02203683668176,92.23603057861328,87.66042395328849,89.93459057422605,4.601462566733375,3.825775146484375,3.820095654413535,4.070006356911378
MEDIUM,18,90.02665040838217,92.2324447631836,87.61995944014545,89.92072223190368,4.606076138433778,3.8221893310546875,3.7796311412704995,4.05613801458901
MEDIUM,19,90.02665040838217,92.245849609375,87.63488735404404,89.93040431425985,4.606076138433778,3.8355941772460938,3.7945590551690884,4.065820096945174
MEDIUM,20,90.20176802232687,92.29192352294922,87.6436515906693,90.00440303613185,4.781193752378485,3.8816680908203125,3.8033232917943423,4.139818818817176
MEDIUM,21,90.32970454528242,92.29449462890625,87.8440861357635,90.1158991465881,4.909130275334036,3.8842391967773438,4.003757836888553,4.251314929273434
MEDIUM,22,90.32970454528242,92.48759460449219,87.85257857550978,90.18320560064066,4.909130275334036,4.077339172363281,4.0122502766348305,4.31862138332599
MEDIUM,23,90.28257777301498,92.60401153564453,87.84890749179911,90.20575328534986,4.862003503066589,4.193756103515625,4.008579192924159,4.341169068035185
MEDIUM,24,90.28257777301498,92.55874633789062,87.84987788542136,90.19101035733676,4.862003503066589,4.148490905761719,4.009549586546413,4.326426140022093
